R000237/S002950/P025075	بر اساس یک گزارش پزشکی تعداد بیماران ایدز در هند هر چهارده ماه دو برابر می‌شود	B A R | AH A S AA S E | Y E K | G O Z AA R E SH E | P E Z E SH K I | T E AH D AA D E | B I M AA R AA N E | AH E Y D Z | D A R | H E N D | H A R | CH AA H AA R D A H | M AA H | D O | B A R AA B A R | M I SH A V A D	SIL | B A R | AH A S AA S E | Y E K | G O Z AA R E SH E | P E Z E SH K I | T E AH D AA D E | B I M AA R AA N | AH E Y D Z | SIL | D A R | H E N D | H A R | CH AA H AA R D A H | M AA H | SIL | D O | B A R AA B A R | SIL | M I SH A V A D
R000237/S002950/P025076	با این شیوه جدید می‌توان بدون آسیب رساندن به دیگر سلول‌های بدن غدد سرطانی را از بین برد	B AA | AH I N | SH I V E Y E | J A D I D | M I T A V AA N | B E D U N E | AH AA S I B | R E S AA N D A N | B E | D I G A R | S E L L U L H AA Y E | B A D A N | Q O D A D E | S A R A T AA N I | R AA | AH A Z | B E Y N | B O R D	SIL | B AA | AH I N | SH I V E Y E | J A D I D | M I T A V AA N | B E D U N E | AH AA S I B | R E S AA N D A N | B E | D I G A R E | S E L L U L H AA Y E | B A D A N | SIL | Q O D A D E | SIL | S A R A T AA N I | R AA | AH A Z | B E Y N | B O R D | SIL
R000237/S002950/P025077	یکی از فعالیت‌های مهم سازمان‌های دولتی و اتحادیه‌های صنفی جهانگردی در ایتالیا بازاریابی تحقیق و بررسی در خصوص انتظارات و حساسیت‌های جهانگردان کشورهای هدف می‌باشد	Y E K I | AH A Z | F A AH AH AA L I Y Y A T H AA Y E | M O H E M M E | S AA Z M AA N H AA Y E | D O L A T I | V A | AH E T T E H AA D I Y E H AA Y E | S E N F I Y E | J A H AA N G A R D I | D A R | AH I T AA L I Y AA | B AA Z AA R Y AA B I | T A H Q I Q | V A | B A R R E S I | D A R | KH O S U S E | AH E N T E Z AA R AA T | V A | H A S S AA S I Y A T H AA Y E | J A H AA N G A R D AA N E | K E SH V A R H AA Y E | H A D A F | M I B AA SH A D	SIL | Y E K I | AH A Z | F A AH AH AA L I Y Y A T H AA Y E | M O H E M M E | S AA Z M AA N H AA Y E | D O L A T I | V A | AH E T T E H AA D I Y E H AA Y E | SIL | S E N F I Y E | J A H AA N G A R D I | D A R | AH I T AA L I Y AA | SIL | B AA Z AA R Y AA B I | T A H Q I Q | V AA V | B A R R E S I | D A R | KH O S U S E | AH E N T E Z AA R AA T | SIL | V A | H A S S AA S I Y Y A T H AA Y E | J A H AA N G A R D AA N E | K E SH V A R H AA Y E | H A D A F | M I B AA SH A D | SIL
R000237/S002950/P025078	مدت پرواز ما تا دوبی سی دقیقه و تا ارتفاع چهارده هزار پا پرواز می‌کنیم	M O D D A T E | P A R V AA Z E | M AA | T AA | D O B E Y | S I | D A Q I Q E | V A | T AA | AH E R T E F AA AH E | CH AA H AA R D A H | H E Z AA R | P AA | P A R V AA Z | M I K O N I M	SIL | M O D D A T E | P A R V AA Z E | M AA | T AA | D O B E Y | S I | D A Q I Q E | V A | T AA | AH E R T E F AA AH E | CH AA H AA R D A H | H E Z AA R | P AA | SIL | P A R V AA Z | M I K O N I M | SIL
R000237/S002950/P025079	ایجاد و گسترش صنایع تبدیلی می‌تواند قسمت قابل‌توجهی از ضایعات میوه و تره‌بار را بازیابی کند	AH I J AA D | V A | G O S T A R E SH E | S A N AA Y E AH E | T A B D I L I | M I T A V AA N A D | Q E S M A T E | Q AA B E L E T A V A J J O H I | AH A Z | Z AA Y E AH AA T E | M I V E | V A | T A R E B AA R | R AA | B AA Z Y AA B I | K O N A D	SIL | AH I J AA D | V A | G O S T A R E SH E | S A N AA Y E AH E | T A B D I L I | M I T A V AA N A D | Q E S M A T E | SIL | Q AA B E L E T A V A J J O H I | AH A Z | Z AA Y E AH AA T E | M I V E | SIL | V A | T A R E B AA R | SIL | R AA | B AA Z Y AA B I | K O N A D | SIL
R000237/S002950/P025080	آنان باید ارزش کیفیت را بدانند و احساس نمایند	AH AA N AA N | B AA Y A D | AH A R Z E SH E | K E Y F I Y Y A T | R AA | B E D AA N A N D | V A | AH E H S AA S | N A M AA Y A N D	SIL | AH AA N AA N | B AA Y A D | AH A R Z E SH E | K E Y F I Y Y A T | R AA | B E D AA N A N D | V A | AH E H S AA S | N A M AA Y A N D
R000237/S002950/P025081	لازم به ذکر است که هر سه استان تقریباً جزو استان‌های محروم و کمتر توسعه‌یافته کشور هستند	L AA Z E M | B E | Z E K R | AH A S T | K E | H A R | S E | AH O S T AA N | T A Q R I B A N | J O Z V E | AH O S T AA N H AA Y E | M A H R U M | V A | K A M T A R | T O S E AH E Y AA F T E | K E SH V A R | H A S T A N D	SIL | L AA Z E M | B E | Z E K R | AH A S T | SIL | K E H | H A R | S E | AH O S T AA N E | T A Q R I B A N | SIL | J O Z V E | SIL | AH O S T AA N H AA Y E | M A H R U M | V A | K A M T A R | T O S E AH E Y AA F T E | K E SH V A R | H A S T A N D | SIL
R000237/S002950/P025082	آنها خانه پزشکان را با گونه کندر خوشبو و داروی سودمند لبریز می‌سازند و داروهایی کارساز و خواستنی برای درمان می‌آورند و نیازمندان را خشنود می‌سازند	AH AA N H AA | KH AA N E Y E | P E Z E SH K AA N | R AA | B AA | G U N E Y E | K O N D O R E | KH O SH B U | V A | D AA R U Y E | S U D M A N D | L A B R I Z | M I S AA Z A N D | V A | D AA R U H AA Y I | K AA R S AA Z | V A | KH AA S T A N I | B A R AA Y E | D A R M AA N | M I AH AA V A R A N D | V A | N I Y AA Z M A N D AA N | R AA | KH O SH N U D | M I S AA Z A N D	SIL | AH AA N H AA | KH AA N E | P E Z E SH K AA N | R AA | B AA | G U N E Y E | K O N D O R E | SIL | KH O SH B U | SIL | V A | D AA R U Y E | S U D M A N D E | L A B R I Z | M I S AA Z A N D | V A | D AA R U H AA Y I | K AA R S AA Z | V A | KH AA S T A N I | B A R AA Y E | D A R M AA N | M I AH AA V A R A N D | SIL | V A | N I Y AA Z M A N D AA N | R AA | KH O SH N U D | M I S AA Z A N D
R000237/S002950/P025083	با تدقیق و تطبیق این بند و تبصره از دو ماده مجزا ملاحظه می‌شود که درصورتی‌که آزادی متهم موجب فساد باشد دو نوع قرار بازداشت اجباری و اختیاری قابل اصرار است	B AA | T A D Q I Q | V A | T A T B I Q E | AH I N | B A N D | V A | T A B S A R E | AH A Z | D O | M AA D D E Y E | M O J A Z Z AA | M O L AA H E Z E | M I SH A V A D | K E | D A R S U R A T I K E | AH AA Z AA D I Y E | M O T T A H A M | M O J E B E | F E S AA D | B AA SH A D | D O | N O AH | Q A R AA R E | B AA Z D AA SH T E | AH E J B AA R I | V A | AH E KH T I Y AA R I | Q AA B E L E | AH E S R AA R | AH A S T	SIL | B AA | SIL | T A D Q I Q E | V A | T A T B I Q E | AH I N | B A N D | V A | T A B S A R E | AH A Z | D O | M AA D D E Y E | M O J A Z Z AA | SIL | M O L AA H E Z E | M I SH A V A D | K E | D A R S U R A T I K E | AH AA Z AA D I | M O T T A H A M E | M O J E B E | SIL | F E S AA D E | SIL | B AA SH A D | SIL | D O | N O AH | SIL | Q A R AA R E | B AA Z D AA SH T E | AH E J B AA R I | V A | AH E KH T I Y AA R I | Q AA B E L E | AH E S R AA R | AH A S T
R000237/S002950/P025084	بدین ترتیب فاک در شرایطی قرار خواهد گرفت که از یک سو نیروهای مقاومت ملی را خلع سلاح کند و به تبع آن از سوی دیگر خصیصه مردمی خود را تضعیف نماید	B E D I N | T A R T I B | F AA K | D A R | SH A R AA Y E T I | Q A R AA R | KH AA H A D | G E R E F T | K E | AH A Z | Y E K | S U | N I R U H AA Y E | M O Q AA V E M A T E | M E L L I | R AA | KH A L AH E | S E L AA H | K O N A D | V A | B E | T A B A AH E | AH AA N | AH A Z | S U Y E | D I G A R | KH A S I S E Y E | M A R D O M I Y E | KH O D | R AA | T A Z AH I F | N A M AA Y A D	SIL | B E D I N | T A R T I B | F AA K | D A R | SH A R AA Y E T I | Q A R AA R | KH AA H A D | G E R E F T | SIL | K E H | AH A Z | Y E K | S U | N I R U H AA Y E | M O Q AA V E M A T E | M E L L I | R AA | KH A L AH E | S E L AA H | K O N A D | SIL | V A | SIL | B E H | SIL | T A B A AH E | SIL | AH AA N | SIL | AH A Z | S U Y E | D I G A R | KH A S I S E Y E | M A R D O M I | KH O D | R AA | SIL | T A Z AH I F | N A M AA Y A D
R000237/S002950/P025085	مهم‌ترین کاری که در این برنامه در نظر گرفتیم حل مشکلات بنیادی اقتصاد ماست تا مشکلات مقطعی نتواند تأثیر چندانی بگذارد اگر یک روز قیمت نفت ما کم شد جامعه دچار بحران نشود	M O H E M T A R I N | K AA R I | K E | D A R | AH I N | B A R N AA M E | D A R | N A Z A R | G E R E F T I M | H A L L E | M O SH K E L AA T E | B O N Y AA D I Y E | AH E Q T E S AA D E | M AA S T | T AA | M O SH K E L AA T E | M A Q T A AH I | N A T A V AA N A D | T A AH S I R E | CH A N D AA N I | B E G O Z AA R A D | AH A G A R | Y E K | R U Z | Q E Y M A T E | N A F T E | M AA | K A M | SH O D | J AA M E AH E | D O CH AA R E | B O H R AA N | N A SH A V A D	SIL | M O H E M T A R I N | K AA R I | K E H | D A R | AH I N | B A R N AA M E | D A R | N A Z A R | G E R E F T I M | H A L L E | M O SH K E L AA T E | B O N Y AA D I | AH E Q T E S AA D E | M AA S T | T AA | M O SH K E L AA T E | M A Q T A AH I | N A T A V AA N A D | SIL | T A AH S I R E | CH A N D AA N I | B E G O Z AA R A D | SIL | AH A G A R | Y E K E | R U Z | Q E Y M A T E | N A F T E | M AA | K A M | SH O D | J AA M E AH E | D O CH AA R E | B O H R AA N | SIL | N A SH A V A D | SIL
